Sector,FDI_amount in INR (crore),FDI_amount in USD (million),% of total,% to amount
COIR,216.21,4.0600000000000005,4.41,0.0
DEFENCE INDUSTRIES,260.99,5.12,5.33,0.0
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",416.15,7.9799999999999995,8.5,0.0
COAL PRODUCTION,1221.34,27.740000000000002,24.93,0.01
PHOTOGRAPHIC RAW FILM AND PAPER,2783.66,67.28,56.83,0.02
